word_count,char_count,char_div4
201,1281,320.25
324,1992,498.0
290,1755,438.75
322,2004,501.0
256,1585,396.25
158,812,203.0
69,262,65.5
2,15,3.75
85,691,172.75
102,571,142.75
69,406,101.5
40,226,56.5
48,265,66.25
55,341,85.25
7,42,10.5
27,171,42.75
31,191,47.75
35,176,44.0
46,288,72.0
7,27,6.75
84,554,138.5
185,1184,296.0
12,73,18.25
19,105,26.25
52,323,80.75
187,1049,262.25
20,121,30.25
318,1762,440.5
197,1362,340.5
93,529,132.25
84,507,126.75
56,313,78.25
21,100,25.0
133,699,174.75
282,1690,422.5
312,1918,479.5
41,167,41.75
22,136,34.0
7,41,10.25
186,1223,305.75
171,1215,303.75
1,10,2.5
21,197,49.25
37,217,54.25
362,3055,763.75
198,1385,346.25
207,1378,344.5
258,1639,409.75
269,1769,442.25
291,1907,476.75
246,1607,401.75
86,481,120.25
315,2098,524.5
50,309,77.25
34,212,53.0
173,1009,252.25
1,4,1.0
289,1727,431.75
287,1927,481.75
280,1731,432.75
321,1932,483.0
321,1949,487.25
154,903,225.75
350,2041,510.25
205,1203,300.75
177,1037,259.25
181,1090,272.5
21,109,27.25
1,4,1.0
310,2664,666.0
378,2281,570.25
1,1,0.25
239,1431,357.75
7,32,8.0
195,1149,287.25
116,660,165.0
419,2203,550.75
384,2083,520.75
391,2141,535.25
386,2199,549.75
386,2184,546.0
332,1943,485.75
357,2119,529.75
343,2037,509.25
342,1995,498.75
365,2163,540.75
366,2150,537.5
364,2179,544.75
364,2179,544.75
364,2179,544.75
396,2252,563.0
397,2326,581.5
371,2243,560.75
388,2268,567.0
372,2165,541.25
165,1181,295.25
256,1604,401.0
61,422,105.5
138,844,211.0
188,1142,285.5
168,1014,253.5
63,400,100.0
214,1254,313.5
95,516,129.0
379,1956,489.0
372,1924,481.0
355,1839,459.75
7,34,8.5
175,925,231.25
119,726,181.5
24,168,42.0
18,133,33.25
23,152,38.0
557,3709,927.25
385,2721,680.25
397,2746,686.5
2,22,5.5
14,63,15.75
58,371,92.75
271,1652,413.0
1,9,2.25
272,1443,360.75
205,1100,275.0
244,1439,359.75
106,586,146.5
170,1066,266.5
216,1341,335.25
264,1403,350.75
113,542,135.5
70,265,66.25
22,117,29.25
88,513,128.25
27,162,40.5
49,292,73.0
323,2259,564.75
34,172,43.0
193,1062,265.5
44,313,78.25
12,56,14.0
270,1694,423.5
152,1093,273.25
152,1089,272.25
75,404,101.0
23,144,36.0
132,771,192.75
299,1953,488.25
217,1386,346.5
47,274,68.5
7,34,8.5
13,90,22.5
8,60,15.0
316,2039,509.75
254,1756,439.0
27,157,39.25
33,185,46.25
1,2,0.5
7,32,8.0
14,80,20.0
189,1203,300.75
16,92,23.0
64,345,86.25
69,394,98.5
66,354,88.5
196,1607,401.75
214,1257,314.25
237,1752,438.0
48,284,71.0
1,5,1.25
259,1692,423.0
276,1801,450.25
51,354,88.5
151,913,228.25
117,649,162.25
13,80,20.0
81,531,132.75
369,2289,572.25
96,539,134.75
388,2192,548.0
7,34,8.5
200,1143,285.75
2,9,2.25
7,34,8.5
35,171,42.75
274,1662,415.5
11,63,15.75
10,62,15.5
91,575,143.75
90,699,174.75
61,469,117.25
1,15,3.75
1,4,1.0
15,99,24.75
37,210,52.5
37,270,67.5
271,2021,505.25
235,1456,364.0
246,1576,394.0
12,114,28.5
45,269,67.25
61,370,92.5
36,231,57.75
43,257,64.25
146,1000,250.0
124,728,182.0
219,1590,397.5
217,1436,359.0
62,393,98.25
34,201,50.25
4,18,4.5
161,909,227.25
285,1647,411.75
381,2098,524.5
137,734,183.5
266,1172,293.0
96,566,141.5
147,919,229.75
342,1857,464.25
71,434,108.5
9,56,14.0
7,34,8.5
38,191,47.75
44,227,56.75
159,1099,274.75
102,656,164.0
206,1393,348.25
383,2635,658.75
318,2097,524.25
161,1060,265.0
35,215,53.75
133,799,199.75
70,313,78.25
7,30,7.5
179,1132,283.0
82,488,122.0
48,311,77.75
71,468,117.0
201,1289,322.25
288,1702,425.5
49,331,82.75
283,2068,517.0
146,879,219.75
26,139,34.75
115,718,179.5
32,172,43.0
46,294,73.5
146,1239,309.75
230,1375,343.75
340,2022,505.5
335,2077,519.25
271,1595,398.75
225,1360,340.0
283,1639,409.75
255,1892,473.0
6,33,8.25
16,108,27.0
81,498,124.5
99,590,147.5
14,88,22.0
29,136,34.0
43,260,65.0
234,1369,342.25
234,1369,342.25
318,1795,448.75
240,1334,333.5
234,1409,352.25
213,1250,312.5
13,84,21.0
12,60,15.0
34,181,45.25
1,17,4.25
66,357,89.25
129,809,202.25
90,534,133.5
164,959,239.75
211,1405,351.25
20,99,24.75
30,186,46.5
144,813,203.25
378,2291,572.75
8,51,12.75
51,290,72.5
133,1002,250.5
49,1161,290.25
184,1067,266.75
255,1549,387.25
219,1193,298.25
213,1256,314.0
176,898,224.5
300,1763,440.75
254,1498,374.5
320,1910,477.5
254,1553,388.25
161,866,216.5
145,1089,272.25
256,1791,447.75
3,21,5.25
63,409,102.25
194,1129,282.25
7,34,8.5
99,540,135.0
89,557,139.25
7,36,9.0
19,96,24.0
58,338,84.5
206,1303,325.75
166,1053,263.25
208,1318,329.5
38,187,46.75
53,313,78.25
149,947,236.75
269,1647,411.75
273,1656,414.0
19,103,25.75
3,16,4.0
8,43,10.75
14,76,19.0
62,360,90.0
235,1556,389.0
39,212,53.0
98,575,143.75
244,1338,334.5
320,1875,468.75
78,506,126.5
70,526,131.5
34,182,45.5
232,1452,363.0
1,10,2.5
22,126,31.5
122,809,202.25
16,97,24.25
10,63,15.75
46,271,67.75
55,290,72.5
7,32,8.0
3,16,4.0
21,133,33.25
53,315,78.75
81,533,133.25
251,1437,359.25
336,1933,483.25
259,1467,366.75
246,1425,356.25
42,239,59.75
74,411,102.75
73,468,117.0
26,131,32.75
151,985,246.25
214,1256,314.0
7,32,8.0
10,50,12.5
1,5,1.25
6,42,10.5
15,68,17.0
9,39,9.75
17,98,24.5
139,839,209.75
119,746,186.5
94,566,141.5
160,990,247.5
134,805,201.25
155,939,234.75
94,608,152.0
33,127,31.75
64,350,87.5
126,713,178.25
385,2417,604.25
1,10,2.5
40,214,53.5
22,129,32.25
140,800,200.0
175,1148,287.0
173,1634,408.5
20,112,28.0
153,1608,402.0
215,1248,312.0
185,1076,269.0
133,812,203.0
103,665,166.25
138,847,211.75
134,808,202.0
85,660,165.0
34,196,49.0
1,1,0.25
81,488,122.0
42,235,58.75
41,294,73.5
14,84,21.0
138,1121,280.25
23,144,36.0
321,2090,522.5
321,2090,522.5
1,10,2.5
1,19,4.75
1,9,2.25
1,11,2.75
51,324,81.0
96,514,128.5
103,565,141.25
42,235,58.75
87,459,114.75
94,545,136.25
192,1049,262.25
52,449,112.25
65,678,169.5
27,142,35.5
19,101,25.25
16,78,19.5
54,292,73.0
26,134,33.5
12,69,17.25
87,531,132.75
41,225,56.25
199,1209,302.25
102,570,142.5
8,54,13.5
52,322,80.5
51,286,71.5
264,1758,439.5
21,94,23.5
2,15,3.75
1,4,1.0
24,140,35.0
201,1239,309.75
131,875,218.75
64,339,84.75
42,235,58.75
7,32,8.0
97,534,133.5
293,1958,489.5
90,593,148.25
250,1719,429.75
185,1272,318.0
261,1667,416.75
239,1441,360.25
62,335,83.75
168,990,247.5
366,2068,517.0
96,565,141.25
193,1185,296.25
51,296,74.0
258,1548,387.0
83,492,123.0
243,1645,411.25
182,1123,280.75
188,934,233.5
25,141,35.25
26,117,29.25
262,1455,363.75
155,938,234.5
4,20,5.0
12,78,19.5
16,96,24.0
26,157,39.25
47,282,70.5
44,263,65.75
44,265,66.25
459,3073,768.25
19,110,27.5
109,614,153.5
185,1151,287.75
135,856,214.0
129,812,203.0
141,905,226.25
104,699,174.75
69,440,110.0
353,2376,594.0
89,687,171.75
130,774,193.5
201,1343,335.75
247,1565,391.25
93,501,125.25
93,563,140.75
234,1400,350.0
236,1422,355.5
180,1124,281.0
155,956,239.0
229,1414,353.5
7,38,9.5
358,2047,511.75
174,1020,255.0
328,1901,475.25
322,1888,472.0
18,96,24.0
321,2110,527.5
8,101,25.25
64,365,91.25
49,310,77.5
174,1439,359.75
196,1208,302.0
417,2784,696.0
70,452,113.0
1,8,2.0
32,204,51.0
8,44,11.0
5,31,7.75
84,585,146.25
85,642,160.5
73,554,138.5
99,882,220.5
102,624,156.0
115,863,215.75
128,895,223.75
128,894,223.5
100,636,159.0
112,807,201.75
120,863,215.75
119,973,243.25
113,845,211.25
102,836,209.0
102,830,207.5
322,1854,463.5
65,380,95.0
46,264,66.0
389,2646,661.5
1,1,0.25
1,1,0.25
1,1,0.25
395,2274,568.5
90,557,139.25
347,2234,558.5
59,327,81.75
60,317,79.25
75,424,106.0
81,476,119.0
170,922,230.5
236,1544,386.0
229,1249,312.25
17,87,21.75
77,492,123.0
205,1300,325.0
1,1,0.25
32,160,40.0
21,123,30.75
239,1379,344.75
41,226,56.5
21,110,27.5
27,200,50.0
70,365,91.25
49,302,75.5
255,1808,452.0
63,353,88.25
30,173,43.25
43,236,59.0
202,1160,290.0
191,1080,270.0
45,262,65.5
146,854,213.5
118,717,179.25
204,1172,293.0
38,204,51.0
132,652,163.0
239,1753,438.25
239,1753,438.25
16,89,22.25
26,164,41.0
8,48,12.0
11,70,17.5
4,19,4.75
151,932,233.0
44,246,61.5
278,1819,454.75
300,1941,485.25
108,607,151.75
284,1642,410.5
6,24,6.0
45,242,60.5
46,272,68.0
28,144,36.0
26,146,36.5
49,267,66.75
24,144,36.0
61,365,91.25
59,359,89.75
1,2,0.5
58,357,89.25
44,269,67.25
54,358,89.5
310,2014,503.5
408,2275,568.75
275,1890,472.5
33,168,42.0
68,332,83.0
26,158,39.5
49,292,73.0
28,131,32.75
188,1152,288.0
24,135,33.75
6,39,9.75
13,61,15.25
353,2199,549.75
184,1205,301.25
132,711,177.75
167,951,237.75
202,1168,292.0
17,95,23.75
81,527,131.75
9,48,12.0
1,13,3.25
1,25,6.25
149,863,215.75
211,1281,320.25
209,1202,300.5
42,254,63.5
50,294,73.5
23,166,41.5
150,1626,406.5
170,1491,372.75
208,1642,410.5
179,1405,351.25
159,1374,343.5
165,1320,330.0
131,1016,254.0
114,953,238.25
182,1512,378.0
107,920,230.0
42,256,64.0
27,143,35.75
25,101,25.25
52,279,69.75
218,1472,368.0
447,3005,751.25
273,1529,382.25
165,1081,270.25
57,346,86.5
57,405,101.25
274,1491,372.75
473,2582,645.5
172,1346,336.5
19,96,24.0
277,1916,479.0
24,106,26.5
29,124,31.0
49,268,67.0
256,1887,471.75
39,305,76.25
41,275,68.75
41,275,68.75
41,275,68.75
41,275,68.75
23,135,33.75
15,90,22.5
60,342,85.5
520,3475,868.75
161,987,246.75
117,707,176.75
177,1103,275.75
301,1629,407.25
168,987,246.75
370,2669,667.25
20,122,30.5
131,841,210.25
12,60,15.0
10,55,13.75
8,38,9.5
300,1878,469.5
97,593,148.25
121,693,173.25
101,552,138.0
24,130,32.5
250,1732,433.0
64,377,94.25
1,6,1.5
574,3290,822.5
160,1008,252.0
163,1041,260.25
14,86,21.5
80,524,131.0
84,499,124.75
72,434,108.5
77,481,120.25
7,34,8.5
